FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,NewRatingPending,Longitude,Latitude,AddressLine4
1177669,19/00376/COMM,% Arabica,Restaurant/Cafe/Canteen,1,"BASEMENT AND GROUND FLOOR, 5 KING STREET",COVENT GARDEN,LONDON,WC2E 8HN,4,fhrs_4_en-GB,2019-11-19,533,Westminster,5,0,10,FALSE,,,
1301468,20/00541/COMM,*Eatlife,Other catering premises,7841,,,,,5,fhrs_5_en-GB,2022-03-18,533,Westminster,0,0,5,FALSE,,,
1112323,00214/0034/1/001,1 Rebel,Retailers - other,4613,"THE COLONNADES, 34 PORCHESTER ROAD",,LONDON,W2 6ES,4,fhrs_4_en-GB,2021-08-24,533,Westminster,5,5,10,FALSE,-0.1875248,51.5165486,
1559410,22/00661/COMM,1 Warwick,Restaurant/Cafe/Canteen,1,1-2 WARWICK STREET,,LONDON,W1B 5LR,AwaitingInspection,fhrs_awaitinginspection_en-GB,,533,Westminster,,,,FALSE,-0.1372907,51.5107175,
1540576,22/00545/COMM,1/2 Million,Restaurant/Cafe/Canteen,1,407 OXFORD STREET,,LONDON,W1C 2PA,5,fhrs_5_en-GB,2023-01-16,533,Westminster,5,5,5,FALSE,-0.1508036,51.5140428,
413781,01382/0010/0/002,10 Greek Street,Restaurant/Cafe/Canteen,1,"BASEMENT AND GROUND FLOOR, 10 GREEK STREET",,LONDON,W1D 4DH,5,fhrs_5_en-GB,2022-05-11,533,Westminster,5,5,5,FALSE,-2.9987615,56.6744508,
427714,00159/0100/0/001,100 Club,Restaurant/Cafe/Canteen,1,"BASEMENT, CENTURY HOUSE, 100-102 OXFORD STREET",,LONDON,W1D 1LL,4,fhrs_4_en-GB,2017-02-10,533,Westminster,0,0,10,FALSE,-0.1353078,51.5162165,
412189,00688/0100/0/000,100 Wardour Street,Restaurant/Cafe/Canteen,1,100 WARDOUR STREET,,LONDON,W1F 0TN,5,fhrs_5_en-GB,2022-11-02,533,Westminster,0,0,0,FALSE,,,
1590023,23/00068/COMM,101 West,Retailers - other,4613,101 WESTBOURNE GROVE,,LONDON,W2 4UW,5,fhrs_5_en-GB,2023-03-10,533,Westminster,,,,FALSE,-0.193249,51.5151144,
1209754,19/00523/COMM,104 Restaurant,Restaurant/Cafe/Canteen,1,104 CHEPSTOW ROAD,,LONDON,W2 5QS,5,fhrs_5_en-GB,2022-09-26,533,Westminster,,,,FALSE,-0.1960861,51.5188216,
743933,01123/0106/0/000,106 Baker Street,Restaurant/Cafe/Canteen,1,,,,,4,fhrs_4_en-GB,2023-04-11,533,Westminster,0,5,10,FALSE,,,
413537,01252/0117/0/000,117 Alderney Street,Restaurant/Cafe/Canteen,1,117 ALDERNEY STREET,,LONDON,SW1V 4HE,5,fhrs_5_en-GB,2021-04-19,533,Westminster,5,5,5,FALSE,-0.1423936,51.4890811,
1317137,18/00075/COMM,12 Hay Hill,Restaurant/Cafe/Canteen,1,12 HAY HILL,,LONDON,W1J 8NR,5,fhrs_5_en-GB,2022-07-21,533,Westminster,0,0,0,FALSE,,,
1267306,01379/0122/0/002,122 Great Titchfield Street B&B,Hotel/bed & breakfast/guest house,7842,,,,,5,fhrs_5_en-GB,2021-07-21,533,Westminster,5,5,5,FALSE,,,
1362882,21/00250/COMM,123V,Restaurant/Cafe/Canteen,1,"FENWICKS, 58-63 NEW BOND STREET",,LONDON,W1S 1RJ,5,fhrs_5_en-GB,2021-05-12,533,Westminster,0,0,0,FALSE,-0.1448192,51.513058,
1411839,01576/0180/0/000,180 Pizza,Takeaway/sandwich shop,7844,180 STRAND,,LONDON,WC2R 1EA,5,fhrs_5_en-GB,2022-06-16,533,Westminster,0,0,5,FALSE,-0.1150843,51.5124221,
1553358,22/00610/COMM,1905,Restaurant/Cafe/Canteen,1,40 MORTIMER STREET,,LONDON,W1W 7RQ,AwaitingInspection,fhrs_awaitinginspection_en-GB,,533,Westminster,,,,FALSE,,,
1435813,21/00841/COMM,1989 Clubhouse,Pub/bar/nightclub,7843,17 MERCER STREET,,LONDON,WC2H 9QJ,5,fhrs_5_en-GB,2022-06-27,533,Westminster,5,5,0,FALSE,-0.126367,51.5131694,
1026633,18/00011/COMM,1Rebel,Restaurant/Cafe/Canteen,1,4 KEAN STREET,,LONDON,WC2B 4AS,4,fhrs_4_en-GB,2022-06-28,533,Westminster,0,10,10,FALSE,-0.1183657,51.5134895,
850600,00864/0048/A/000,2 Amici,Restaurant/Cafe/Canteen,1,48A ROCHESTER ROW,,LONDON,SW1P 1JU,3,fhrs_3_en-GB,2022-02-22,533,Westminster,5,10,10,FALSE,-0.1366169,51.4947447,
411269,00283/0008/0/001,2 Veneti,Restaurant/Cafe/Canteen,1,8-10 WIGMORE STREET,,LONDON,W1U 2RD,2,fhrs_2_en-GB,2023-03-16,533,Westminster,5,15,5,FALSE,-0.146726,51.5168561,
1584352,23/00026/COMM,20Ft Fried Chicken,Takeaway/sandwich shop,7844,"MARKET HALL WEST END, 9 HOLLES STREET",,LONDON,W1G 0BD,5,fhrs_5_en-GB,2023-01-25,533,Westminster,0,0,5,FALSE,-0.1447501,51.515467,
1361455,21/00242/COMM,21 Soho,Restaurant/Cafe/Canteen,1,3-5 SUTTON ROW,,LONDON,W1D 4NR,4,fhrs_4_en-GB,2023-03-06,533,Westminster,10,5,5,FALSE,,,
